step,train_loss,probe_loss,curve_loss,lr,lr_multiplier,schedule,width,seed,base_lr
194,0.3758922815322876,,0.3758922815322876,0.00035909574494543306,0.35909574494543306,cosine,256,10,0.001
195,0.3733093738555908,,0.3733093738555908,0.0003547523173970989,0.3547523173970989,cosine,256,10,0.001
196,0.3002539575099945,,0.3002539575099945,0.000350431183789384,0.350431183789384,cosine,256,10,0.001
197,0.5807888507843018,,0.5807888507843018,0.0003461328375217223,0.3461328375217223,cosine,256,10,0.001
198,0.3786461353302002,,0.3786461353302002,0.0003418577693916243,0.34185776939162427,cosine,256,10,0.001
199,0.2869921922683716,,0.2869921922683716,0.00033760646753863466,0.33760646753863466,cosine,256,10,0.001
200,0.32938897609710693,0.6355712115764618,0.6355712115764618,0.0003333794173885978,0.33337941738859783,cosine,256,10,0.001
201,0.23751145601272583,,0.23751145601272583,0.0003291771015982281,0.3291771015982281,cosine,256,10,0.001
202,0.31880372762680054,,0.31880372762680054,0.00032500000000000015,0.3250000000000001,cosine,256,10,0.001
203,0.35950809717178345,,0.35950809717178345,0.00032084858954735965,0.3208485895473596,cosine,256,10,0.001
204,0.3715876042842865,,0.3715876042842865,0.0003167233442602637,0.3167233442602637,cosine,256,10,0.001
205,0.2270253300666809,,0.2270253300666809,0.00031262473517105593,0.31262473517105593,cosine,256,10,0.001
206,0.37164783477783203,,0.37164783477783203,0.00030855323027068174,0.3085532302706817,cosine,256,10,0.001
207,0.15413165092468262,,0.15413165092468262,0.00030450929445525316,0.30450929445525315,cosine,256,10,0.001
208,0.3963986039161682,,0.3963986039161682,0.0003004933894729647,0.3004933894729647,cosine,256,10,0.001
209,0.2849481999874115,,0.2849481999874115,0.0002965059738713701,0.2965059738713701,cosine,256,10,0.001
210,0.18067842721939087,0.5276727378368378,0.5276727378368378,0.0002925475029450237,0.29254750294502374,cosine,256,10,0.001
211,0.18763568997383118,,0.18763568997383118,0.00028861842868349374,0.28861842868349374,cosine,256,10,0.001
212,0.25497233867645264,,0.25497233867645264,0.0002847191997197531,0.2847191997197531,cosine,256,10,0.001
213,0.2330569326877594,,0.2330569326877594,0.00028085026127895287,0.28085026127895285,cosine,256,10,0.001
214,0.23270829021930695,,0.23270829021930695,0.0002770120551275851,0.2770120551275851,cosine,256,10,0.001
215,0.30707424879074097,,0.30707424879074097,0.00027320501952304133,0.2732050195230413,cosine,256,10,0.001
216,0.31697458028793335,,0.31697458028793335,0.00026942958916356994,0.26942958916356996,cosine,256,10,0.001
217,0.32707446813583374,,0.32707446813583374,0.00026568619513864244,0.26568619513864244,cosine,256,10,0.001
218,0.2950064539909363,,0.2950064539909363,0.0002619752648797292,0.2619752648797292,cosine,256,10,0.001
219,0.30985692143440247,,0.30985692143440247,0.0002582972221114953,0.2582972221114953,cosine,256,10,0.001
220,0.44063201546669006,0.5072797164320946,0.5072797164320946,0.0002546524868034169,0.25465248680341684,cosine,256,10,0.001
221,0.23914991319179535,,0.23914991319179535,0.0002510414751218293,0.2510414751218293,cosine,256,10,0.001
222,0.1770036518573761,,0.1770036518573761,0.00024746459938240745,0.24746459938240742,cosine,256,10,0.001
223,0.23695558309555054,,0.23695558309555054,0.0002439222680030862,0.2439222680030862,cosine,256,10,0.001
224,0.4379119277000427,,0.4379119277000427,0.0002404148854574266,0.24041488545742662,cosine,256,10,0.001
225,0.2497871071100235,,0.2497871071100235,0.00023694285222843116,0.23694285222843114,cosine,256,10,0.001
226,0.2774369716644287,,0.2774369716644287,0.00023350656476281615,0.23350656476281614,cosine,256,10,0.001
227,0.37391364574432373,,0.37391364574432373,0.0002301064154257443,0.2301064154257443,cosine,256,10,0.001
228,0.27766191959381104,,0.27766191959381104,0.00022674279245602264,0.22674279245602263,cosine,256,10,0.001
229,0.2501060962677002,,0.2501060962677002,0.00022341607992177316,0.22341607992177315,cosine,256,10,0.001
230,0.41959065198898315,0.4935847669839859,0.4935847669839859,0.0002201266576765783,0.2201266576765783,cosine,256,10,0.001
231,0.4314132332801819,,0.4314132332801819,0.00021687490131610816,0.21687490131610815,cosine,256,10,0.001
232,0.1831967681646347,,0.1831967681646347,0.0002136611821352341,0.2136611821352341,cosine,256,10,0.001
233,0.21048863232135773,,0.21048863232135773,0.00021048586708563355,0.21048586708563355,cosine,256,10,0.001
234,0.2821328639984131,,0.2821328639984131,0.00020734931873388952,0.2073493187338895,cosine,256,10,0.001
235,0.4287460148334503,,0.4287460148334503,0.00020425189522009263,0.20425189522009263,cosine,256,10,0.001
236,0.865669846534729,,0.865669846534729,0.00020119395021694675,0.20119395021694675,cosine,256,10,0.001
237,0.7039881944656372,,0.7039881944656372,0.00019817583288938664,0.19817583288938664,cosine,256,10,0.001
238,0.789849042892456,,0.789849042892456,0.00019519788785470852,0.1951978878547085,cosine,256,10,0.001
239,0.5139447450637817,,0.5139447450637817,0.0001922604551432211,0.1922604551432211,cosine,256,10,0.001
240,0.6441282033920288,0.35098370909690857,0.35098370909690857,0.00018936387015941957,0.18936387015941958,cosine,256,10,0.001
241,0.7248579263687134,,0.7248579263687134,0.00018650846364368852,0.1865084636436885,cosine,256,10,0.001
242,0.5277161002159119,,0.5277161002159119,0.00018369456163453682,0.18369456163453682,cosine,256,10,0.001
243,0.5449703931808472,,0.5449703931808472,0.00018092248543136985,0.18092248543136985,cosine,256,10,0.001
244,0.6610527038574219,,0.6610527038574219,0.00017819255155780234,0.17819255155780234,cosine,256,10,0.001
245,0.7131337523460388,,0.7131337523460388,0.00017550507172551684,0.17550507172551683,cosine,256,10,0.001
246,0.3414917290210724,,0.3414917290210724,0.00017286035279867173,0.17286035279867173,cosine,256,10,0.001
247,0.33578839898109436,,0.33578839898109436,0.00017025869675886253,0.17025869675886252,cosine,256,10,0.001
248,0.43684396147727966,,0.43684396147727966,0.00016770040067064075,0.16770040067064074,cosine,256,10,0.001
249,0.21989284455776215,,0.21989284455776215,0.00016518575664759428,0.16518575664759427,cosine,256,10,0.001
250,0.2146465927362442,0.24531682580709457,0.24531682580709457,0.00016271505181899272,0.1627150518189927,cosine,256,10,0.001
251,0.46373119950294495,,0.46373119950294495,0.00016028856829700258,0.16028856829700258,cosine,256,10,0.001
252,0.3221505284309387,,0.3221505284309387,0.0001579065831444748,0.15790658314447478,cosine,256,10,0.001
253,0.4078812301158905,,0.4078812301158905,0.0001555693683433085,0.1555693683433085,cosine,256,10,0.001
254,0.12596425414085388,,0.12596425414085388,0.00015327719076339594,0.15327719076339594,cosine,256,10,0.001
255,0.2842652499675751,,0.2842652499675751,0.00015103031213214996,0.15103031213214996,cosine,256,10,0.001
256,0.3369303345680237,,0.3369303345680237,0.00014882898900461976,0.14882898900461974,cosine,256,10,0.001
257,0.2266705185174942,,0.2266705185174942,0.00014667347273419608,0.14667347273419606,cosine,256,10,0.001
258,0.29049253463745117,,0.29049253463745117,0.00014456400944391147,0.14456400944391146,cosine,256,10,0.001
259,0.3276703357696533,,0.3276703357696533,0.00014250083999833716,0.14250083999833715,cosine,256,10,0.001
260,0.3504461646080017,0.23847586661577225,0.23847586661577225,0.0001404841999760801,0.14048419997608008,cosine,256,10,0.001
261,0.25361111760139465,,0.25361111760139465,0.00013851431964288444,0.13851431964288444,cosine,256,10,0.001
262,0.4983519911766052,,0.4983519911766052,0.00013659142392533874,0.13659142392533874,cosine,256,10,0.001
263,0.2529011070728302,,0.2529011070728302,0.00013471573238519336,0.13471573238519335,cosine,256,10,0.001
264,0.31194478273391724,,0.31194478273391724,0.00013288745919429028,0.13288745919429026,cosine,256,10,0.001
